------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         307   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
2.331394      -0.009295      -0.039294      0.000000      13.308000      3.652118      1
2.492176      -0.010708      -0.045269      0.000000      13.308000      3.670471      1
2.652959      -0.012121      -0.051243      0.000000      13.308000      3.688824      1
2.813741      -0.013534      -0.057218      0.000000      13.308000      3.707176      1
2.974524      -0.014947      -0.063192      0.000000      13.308000      3.725529      1
3.135306      -0.016361      -0.069167      0.000000      13.308000      3.743882      1
3.296088      -0.017774      -0.075141      0.000000      13.308000      3.762235      1
3.456871      -0.019187      -0.081116      0.000000      13.308000      3.780588      1
3.617653      -0.020600      -0.087091      0.000000      13.308000      3.798941      1
3.778435      -0.022013      -0.093065      0.000000      13.308000      3.817294      1
3.939218      -0.023427      -0.099040      0.000000      13.308000      3.835647      1
4.100000      -0.024840      -0.105014      0.000000      13.308000      3.854000      1
4.260782      -0.026877      -0.113626      0.000000      13.308000      3.872412      1
4.421565      -0.028914      -0.122238      0.000000      13.308000      3.890824      1
4.582347      -0.030951      -0.130850      0.000000      13.308000      3.909235      1
4.743129      -0.032988      -0.139462      0.000000      13.308000      3.927647      1
4.903912      -0.035025      -0.148074      0.000000      13.308000      3.946059      1
5.064694      -0.037062      -0.156686      0.000000      13.308000      3.964471      1
5.225476      -0.039099      -0.165297      0.000000      13.308000      3.982882      1
5.386259      -0.041136      -0.173909      0.000000      13.308000      4.001294      1
5.547041      -0.043173      -0.182521      0.000000      13.308000      4.019706      2
5.707824      -0.045210      -0.191133      0.000000      13.308000      4.038118      2
5.868606      -0.047247      -0.199745      0.000000      13.308000      4.056529      2
6.029388      -0.049284      -0.208357      0.000000      13.308000      4.074941      2
6.190171      -0.051321      -0.216969      0.000000      13.308000      4.093353      2
6.350953      -0.053358      -0.225581      0.000000      13.308000      4.111765      2
6.511735      -0.055395      -0.234193      0.000000      13.308000      4.130176      2
6.672518      -0.057432      -0.242804      0.000000      13.308000      4.148588      2
6.833300      -0.059469      -0.251416      0.000000      13.308000      4.167000      2
7.034282      -0.062388      -0.263757      0.000000      13.308000      4.189941      2
7.235265      -0.065307      -0.276097      0.000000      13.308000      4.212882      2
7.436247      -0.068226      -0.288437      0.000000      13.308000      4.235824      2
7.637229      -0.071145      -0.300778      0.000000      13.308000      4.258765      2
7.838212      -0.074064      -0.313118      0.000000      13.308000      4.281706      2
8.039194      -0.076983      -0.325458      0.000000      13.308000      4.304647      2
8.240176      -0.079902      -0.337798      0.000000      13.308000      4.327588      2
8.441159      -0.082821      -0.350139      0.000000      13.308000      4.350529      2
8.642141      -0.085740      -0.362479      0.000000      13.308000      4.373471      3
8.843124      -0.088659      -0.374819      0.000000      13.308000      4.396412      3
9.044106      -0.091578      -0.387160      0.000000      13.308000      4.419353      3
9.245088      -0.094497      -0.399500      0.000000      13.308000      4.442294      3
9.446071      -0.097416      -0.411840      0.000000      13.308000      4.465235      3
9.647053      -0.100335      -0.424181      0.000000      13.308000      4.488176      3
9.848035      -0.103254      -0.436521      0.000000      13.308000      4.511118      3
10.049018      -0.106172      -0.448861      0.000000      13.308000      4.534059      3
10.250000      -0.109091      -0.461201      0.000000      13.308000      4.557000      3
10.491176      -0.109482      -0.467594      0.000000      13.200471      4.562588      3
10.732353      -0.109873      -0.473986      0.000000      13.092941      4.568176      3
10.973529      -0.110264      -0.480378      0.000000      12.985412      4.573765      3
11.214706      -0.110654      -0.486770      0.000000      12.877882      4.579353      3
11.455882      -0.111045      -0.493162      0.000000      12.770353      4.584941      3
11.697059      -0.111436      -0.499554      0.000000      12.662824      4.590529      3
11.938235      -0.111826      -0.505946      0.000000      12.555294      4.596118      3
12.179412      -0.112217      -0.512338      0.000000      12.447765      4.601706      3
12.420588      -0.112608      -0.518730      0.000000      12.340235      4.607294      4
12.661765      -0.112999      -0.525122      0.000000      12.232706      4.612882      4
12.902941      -0.113389      -0.531514      0.000000      12.125176      4.618471      4
13.144118      -0.113780      -0.537906      0.000000      12.017647      4.624059      4
13.385294      -0.114171      -0.544298      0.000000      11.910118      4.629647      4
13.626471      -0.114561      -0.550690      0.000000      11.802588      4.635235      4
13.867647      -0.114952      -0.557083      0.000000      11.695059      4.640824      4
14.108824      -0.115343      -0.563475      0.000000      11.587529      4.646412      4
14.350000      -0.115734      -0.569867      0.000000      11.480000      4.652000      4
14.591176      -0.114709      -0.568610      0.000000      11.402471      4.640588      4
14.832353      -0.113685      -0.567354      0.000000      11.324941      4.629176      4
15.073529      -0.112660      -0.566098      0.000000      11.247412      4.617765      4
15.314706      -0.111635      -0.564841      0.000000      11.169882      4.606353      4
15.555882      -0.110611      -0.563585      0.000000      11.092353      4.594941      4
15.797059      -0.109586      -0.562328      0.000000      11.014824      4.583529      4
16.038235      -0.108562      -0.561072      0.000000      10.937294      4.572118      4
16.279412      -0.107537      -0.559816      0.000000      10.859765      4.560706      4
16.520588      -0.106513      -0.558559      0.000000      10.782235      4.549294      4
16.761765      -0.105488      -0.557303      0.000000      10.704706      4.537882      4
17.002941      -0.104464      -0.556047      0.000000      10.627176      4.526471      4
17.244118      -0.103439      -0.554790      0.000000      10.549647      4.515059      4
17.485294      -0.102415      -0.553534      0.000000      10.472118      4.503647      4
17.726471      -0.101390      -0.552277      0.000000      10.394588      4.492235      4
17.967647      -0.100366      -0.551021      0.000000      10.317059      4.480824      4
18.208824      -0.099341      -0.549765      0.000000      10.239529      4.469412      4
18.450000      -0.098317      -0.548508      0.000000      10.162000      4.458000      4
18.691176      -0.097427      -0.547100      0.000000      10.094294      4.445706      4
18.932353      -0.096537      -0.545692      0.000000      10.026588      4.433412      4
19.173529      -0.095647      -0.544284      0.000000      9.958882      4.421118      4
19.414706      -0.094757      -0.542876      0.000000      9.891176      4.408824      4
19.655882      -0.093867      -0.541468      0.000000      9.823471      4.396529      4
19.897059      -0.092977      -0.540060      0.000000      9.755765      4.384235      4
20.138235      -0.092087      -0.538651      0.000000      9.688059      4.371941      4
20.379412      -0.091197      -0.537243      0.000000      9.620353      4.359647      4
20.620588      -0.090307      -0.535835      0.000000      9.552647      4.347353      5
20.861765      -0.089417      -0.534427      0.000000      9.484941      4.335059      5
21.102941      -0.088527      -0.533019      0.000000      9.417235      4.322765      5
21.344118      -0.087637      -0.531611      0.000000      9.349529      4.310471      5
21.585294      -0.086747      -0.530203      0.000000      9.281824      4.298176      5
21.826471      -0.085857      -0.528794      0.000000      9.214118      4.285882      5
22.067647      -0.084967      -0.527386      0.000000      9.146412      4.273588      5
22.308824      -0.084077      -0.525978      0.000000      9.078706      4.261294      5
22.550000      -0.083187      -0.524570      0.000000      9.011000      4.249000      5
22.791176      -0.082290      -0.522904      0.000000      8.939471      4.234765      5
23.032353      -0.081392      -0.521238      0.000000      8.867941      4.220529      5
23.273529      -0.080495      -0.519572      0.000000      8.796412      4.206294      5
23.514706      -0.079598      -0.517906      0.000000      8.724882      4.192059      5
23.755882      -0.078701      -0.516240      0.000000      8.653353      4.177824      5
23.997059      -0.077803      -0.514574      0.000000      8.581824      4.163588      5
24.238235      -0.076906      -0.512907      0.000000      8.510294      4.149353      5
24.479412      -0.076009      -0.511241      0.000000      8.438765      4.135118      5
24.720588      -0.075111      -0.509575      0.000000      8.367235      4.120882      6
24.961765      -0.074214      -0.507909      0.000000      8.295706      4.106647      6
25.202941      -0.073317      -0.506243      0.000000      8.224176      4.092412      6
25.444118      -0.072420      -0.504577      0.000000      8.152647      4.078176      6
25.685294      -0.071522      -0.502911      0.000000      8.081118      4.063941      6
25.926471      -0.070625      -0.501245      0.000000      8.009588      4.049706      6
26.167647      -0.069728      -0.499579      0.000000      7.938059      4.035471      6
26.408824      -0.068831      -0.497913      0.000000      7.866529      4.021235      6
26.650000      -0.067933      -0.496247      0.000000      7.795000      4.007000      6
26.891176      -0.067078      -0.494435      0.000000      7.721412      3.991765      6
27.132353      -0.066223      -0.492623      0.000000      7.647824      3.976529      6
27.373529      -0.065367      -0.490812      0.000000      7.574235      3.961294      6
27.614706      -0.064512      -0.489000      0.000000      7.500647      3.946059      6
27.855882      -0.063657      -0.487188      0.000000      7.427059      3.930824      6
28.097059      -0.062801      -0.485376      0.000000      7.353471      3.915588      6
28.338235      -0.061946      -0.483565      0.000000      7.279882      3.900353      6
28.579412      -0.061091      -0.481753      0.000000      7.206294      3.885118      6
28.820588      -0.060236      -0.479941      0.000000      7.132706      3.869882      6
29.061765      -0.059380      -0.478130      0.000000      7.059118      3.854647      6
29.302941      -0.058525      -0.476318      0.000000      6.985529      3.839412      6
29.544118      -0.057670      -0.474506      0.000000      6.911941      3.824176      6
29.785294      -0.056814      -0.472694      0.000000      6.838353      3.808941      6
30.026471      -0.055959      -0.470883      0.000000      6.764765      3.793706      6
30.267647      -0.055104      -0.469071      0.000000      6.691176      3.778471      6
30.508824      -0.054248      -0.467259      0.000000      6.617588      3.763235      6
30.750000      -0.053393      -0.465448      0.000000      6.544000      3.748000      6
30.991176      -0.052658      -0.463706      0.000000      6.474412      3.733529      6
31.232353      -0.051923      -0.461964      0.000000      6.404824      3.719059      6
31.473529      -0.051188      -0.460222      0.000000      6.335235      3.704588      6
31.714706      -0.050453      -0.458480      0.000000      6.265647      3.690118      6
31.955882      -0.049718      -0.456738      0.000000      6.196059      3.675647      6
32.197059      -0.048984      -0.454996      0.000000      6.126471      3.661176      6
32.438235      -0.048249      -0.453254      0.000000      6.056882      3.646706      6
32.679412      -0.047514      -0.451512      0.000000      5.987294      3.632235      6
32.920588      -0.046779      -0.449770      0.000000      5.917706      3.617765      7
33.161765      -0.046044      -0.448029      0.000000      5.848118      3.603294      7
33.402941      -0.045309      -0.446287      0.000000      5.778529      3.588824      7
33.644118      -0.044574      -0.444545      0.000000      5.708941      3.574353      7
33.885294      -0.043839      -0.442803      0.000000      5.639353      3.559882      7
34.126471      -0.043104      -0.441061      0.000000      5.569765      3.545412      7
34.367647      -0.042369      -0.439319      0.000000      5.500176      3.530941      7
34.608824      -0.041634      -0.437577      0.000000      5.430588      3.516471      7
34.850000      -0.040899      -0.435835      0.000000      5.361000      3.502000      7
35.091176      -0.040242      -0.434075      0.000000      5.292000      3.487529      7
35.332353      -0.039584      -0.432315      0.000000      5.223000      3.473059      7
35.573529      -0.038927      -0.430555      0.000000      5.154000      3.458588      7
35.814706      -0.038270      -0.428795      0.000000      5.085000      3.444118      7
36.055882      -0.037612      -0.427035      0.000000      5.016000      3.429647      7
36.297059      -0.036955      -0.425274      0.000000      4.947000      3.415176      7
36.538235      -0.036297      -0.423514      0.000000      4.878000      3.400706      7
36.779412      -0.035640      -0.421754      0.000000      4.809000      3.386235      7
37.020588      -0.034982      -0.419994      0.000000      4.740000      3.371765      7
37.261765      -0.034325      -0.418234      0.000000      4.671000      3.357294      7
37.502941      -0.033668      -0.416474      0.000000      4.602000      3.342824      7
37.744118      -0.033010      -0.414714      0.000000      4.533000      3.328353      7
37.985294      -0.032353      -0.412954      0.000000      4.464000      3.313882      7
38.226471      -0.031695      -0.411194      0.000000      4.395000      3.299412      7
38.467647      -0.031038      -0.409433      0.000000      4.326000      3.284941      7
38.708824      -0.030380      -0.407673      0.000000      4.257000      3.270471      7
38.950000      -0.029723      -0.405913      0.000000      4.188000      3.256000      7
39.191176      -0.029181      -0.404135      0.000000      4.125471      3.241529      7
39.432353      -0.028639      -0.402358      0.000000      4.062941      3.227059      7
39.673529      -0.028097      -0.400580      0.000000      4.000412      3.212588      7
39.914706      -0.027555      -0.398802      0.000000      3.937882      3.198118      7
40.155882      -0.027014      -0.397024      0.000000      3.875353      3.183647      7
40.397059      -0.026472      -0.395246      0.000000      3.812824      3.169176      7
40.638235      -0.025930      -0.393469      0.000000      3.750294      3.154706      7
40.879412      -0.025388      -0.391691      0.000000      3.687765      3.140235      7
41.120588      -0.024846      -0.389913      0.000000      3.625235      3.125765      8
41.361765      -0.024304      -0.388135      0.000000      3.562706      3.111294      8
41.602941      -0.023762      -0.386357      0.000000      3.500176      3.096824      8
41.844118      -0.023220      -0.384580      0.000000      3.437647      3.082353      8
42.085294      -0.022679      -0.382802      0.000000      3.375118      3.067882      8
42.326471      -0.022137      -0.381024      0.000000      3.312588      3.053412      8
42.567647      -0.021595      -0.379246      0.000000      3.250059      3.038941      8
42.808824      -0.021053      -0.377468      0.000000      3.187529      3.024471      8
43.050000      -0.020511      -0.375691      0.000000      3.125000      3.010000      8
43.291176      -0.020127      -0.373898      0.000000      3.077588      2.995529      8
43.532353      -0.019743      -0.372105      0.000000      3.030176      2.981059      8
43.773529      -0.019359      -0.370313      0.000000      2.982765      2.966588      8
44.014706      -0.018974      -0.368520      0.000000      2.935353      2.952118      8
44.255882      -0.018590      -0.366728      0.000000      2.887941      2.937647      8
44.497059      -0.018206      -0.364935      0.000000      2.840529      2.923176      8
44.738235      -0.017822      -0.363143      0.000000      2.793118      2.908706      8
44.979412      -0.017438      -0.361350      0.000000      2.745706      2.894235      8
45.220588      -0.017053      -0.359558      0.000000      2.698294      2.879765      8
45.461765      -0.016669      -0.357765      0.000000      2.650882      2.865294      8
45.702941      -0.016285      -0.355972      0.000000      2.603471      2.850824      8
45.944118      -0.015901      -0.354180      0.000000      2.556059      2.836353      8
46.185294      -0.015517      -0.352387      0.000000      2.508647      2.821882      8
46.426471      -0.015133      -0.350595      0.000000      2.461235      2.807412      8
46.667647      -0.014748      -0.348802      0.000000      2.413824      2.792941      8
46.908824      -0.014364      -0.347010      0.000000      2.366412      2.778471      8
47.150000      -0.013980      -0.345217      0.000000      2.319000      2.764000      8
47.391176      -0.013651      -0.343418      0.000000      2.272353      2.749529      8
47.632353      -0.013321      -0.341620      0.000000      2.225706      2.735059      8
47.873529      -0.012992      -0.339821      0.000000      2.179059      2.720588      8
48.114706      -0.012663      -0.338022      0.000000      2.132412      2.706118      8
48.355882      -0.012334      -0.336223      0.000000      2.085765      2.691647      8
48.597059      -0.012004      -0.334425      0.000000      2.039118      2.677176      8
48.838235      -0.011675      -0.332626      0.000000      1.992471      2.662706      8
49.079412      -0.011346      -0.330827      0.000000      1.945824      2.648235      8
49.320588      -0.011016      -0.329028      0.000000      1.899176      2.633765      8
49.561765      -0.010687      -0.327230      0.000000      1.852529      2.619294      8
49.802941      -0.010358      -0.325431      0.000000      1.805882      2.604824      8
50.044118      -0.010028      -0.323632      0.000000      1.759235      2.590353      8
50.285294      -0.009699      -0.321833      0.000000      1.712588      2.575882      8
50.526471      -0.009370      -0.320035      0.000000      1.665941      2.561412      8
50.767647      -0.009041      -0.318236      0.000000      1.619294      2.546941      8
51.008824      -0.008711      -0.316437      0.000000      1.572647      2.532471      8
51.250000      -0.008382      -0.314638      0.000000      1.526000      2.518000      8
51.450982      -0.008145      -0.313136      0.000000      1.487000      2.505941      8
51.651965      -0.007908      -0.311633      0.000000      1.448000      2.493882      8
51.852947      -0.007671      -0.310130      0.000000      1.409000      2.481824      8
52.053929      -0.007434      -0.308628      0.000000      1.370000      2.469765      8
52.254912      -0.007197      -0.307125      0.000000      1.331000      2.457706      8
52.455894      -0.006961      -0.305622      0.000000      1.292000      2.445647      8
52.656876      -0.006724      -0.304119      0.000000      1.253000      2.433588      8
52.857859      -0.006487      -0.302617      0.000000      1.214000      2.421529      8
53.058841      -0.006250      -0.301114      0.000000      1.175000      2.409471      8
53.259824      -0.006013      -0.299611      0.000000      1.136000      2.397412      8
53.460806      -0.005776      -0.298108      0.000000      1.097000      2.385353      8
53.661788      -0.005539      -0.296606      0.000000      1.058000      2.373294      8
53.862771      -0.005302      -0.295103      0.000000      1.019000      2.361235      8
54.063753      -0.005065      -0.293600      0.000000      0.980000      2.349176      8
54.264735      -0.004828      -0.292098      0.000000      0.941000      2.337118      8
54.465718      -0.004592      -0.290595      0.000000      0.902000      2.325059      8
54.666700      -0.004355      -0.289092      0.000000      0.863000      2.313000      8
54.827482      -0.004198      -0.287425      0.000000      0.834000      2.299647      8
54.988265      -0.004040      -0.285757      0.000000      0.805000      2.286294      8
55.149047      -0.003883      -0.284090      0.000000      0.776000      2.272941      8
55.309829      -0.003726      -0.282422      0.000000      0.747000      2.259588      8
55.470612      -0.003569      -0.280755      0.000000      0.718000      2.246235      8
55.631394      -0.003412      -0.279087      0.000000      0.689000      2.232882      8
55.792176      -0.003255      -0.277420      0.000000      0.660000      2.219529      8
55.952959      -0.003098      -0.275752      0.000000      0.631000      2.206176      8
56.113741      -0.002941      -0.274085      0.000000      0.602000      2.192824      8
56.274524      -0.002784      -0.272417      0.000000      0.573000      2.179471      8
56.435306      -0.002626      -0.270750      0.000000      0.544000      2.166118      8
56.596088      -0.002469      -0.269082      0.000000      0.515000      2.152765      8
56.756871      -0.002312      -0.267415      0.000000      0.486000      2.139412      8
56.917653      -0.002155      -0.265747      0.000000      0.457000      2.126059      8
57.078435      -0.001998      -0.264080      0.000000      0.428000      2.112706      8
57.239218      -0.001841      -0.262412      0.000000      0.399000      2.099353      8
57.400000      -0.001684      -0.260745      0.000000      0.370000      2.086000      8
57.560782      -0.001604      -0.255840      0.000000      0.354471      2.046765      8
57.721565      -0.001524      -0.250936      0.000000      0.338941      2.007529      8
57.882347      -0.001445      -0.246032      0.000000      0.323412      1.968294      8
58.043129      -0.001365      -0.241128      0.000000      0.307882      1.929059      8
58.203912      -0.001285      -0.236224      0.000000      0.292353      1.889824      8
58.364694      -0.001205      -0.231320      0.000000      0.276824      1.850588      8
58.525476      -0.001126      -0.226416      0.000000      0.261294      1.811353      8
58.686259      -0.001046      -0.221512      0.000000      0.245765      1.772118      8
58.847041      -0.000966      -0.216608      0.000000      0.230235      1.732882      8
59.007824      -0.000886      -0.211703      0.000000      0.214706      1.693647      8
59.168606      -0.000807      -0.206799      0.000000      0.199176      1.654412      8
59.329388      -0.000727      -0.201895      0.000000      0.183647      1.615176      8
59.490171      -0.000647      -0.196991      0.000000      0.168118      1.575941      8
59.650953      -0.000567      -0.192087      0.000000      0.152588      1.536706      8
59.811735      -0.000488      -0.187183      0.000000      0.137059      1.497471      8
59.972518      -0.000408      -0.182279      0.000000      0.121529      1.458235      8
60.133300      -0.000328      -0.177375      0.000000      0.106000      1.419000      8
60.213688      -0.000328      -0.174923      0.000000      0.098236      1.399383      8
60.294076      -0.000328      -0.172471      0.000000      0.090471      1.379766      8
60.374465      -0.000328      -0.170019      0.000000      0.082707      1.360149      8
60.454853      -0.000328      -0.167567      0.000000      0.074942      1.340532      8
60.535241      -0.000328      -0.165115      0.000000      0.067178      1.320915      8
60.615629      -0.000328      -0.162663      0.000000      0.059413      1.301298      8
60.696018      -0.000328      -0.160211      0.000000      0.051649      1.281681      8
60.776406      -0.000328      -0.157759      0.000000      0.043885      1.262065      8
60.856794      -0.000328      -0.155307      0.000000      0.036120      1.242448      8
60.937182      -0.000328      -0.152855      0.000000      0.028356      1.222831      8
61.017571      -0.000328      -0.150403      0.000000      0.020591      1.203214      8
61.097959      -0.000328      -0.147951      0.000000      0.012827      1.183597      8
61.178347      -0.000328      -0.145499      0.000000      0.005063      1.163980      8
61.258735      -0.000328      -0.143047      0.000000      -0.002702      1.144363      8
61.339124      -0.000328      -0.140595      0.000000      -0.010466      1.124746      8
61.419512      -0.000328      -0.138143      0.000000      -0.018231      1.105129      8
61.499900      -0.000328      -0.135691      0.000000      -0.025995      1.085512      8

